,Train_loss,Train_acc
0,2.027109593153,0.637499988079071
1,1.627971351146698,0.6737499833106995
2,0.9804040640592575,0.7174999862909317
3,0.9915982633829117,0.7118749916553497
4,0.9984423369169235,0.7118749916553497
5,0.9920404851436615,0.7099999934434891
6,0.814874991774559,0.7449999898672104
7,0.9083131104707718,0.7037499845027924
8,0.885256439447403,0.7299999892711639
9,0.7326887995004654,0.7537499964237213
10,0.7129707932472229,0.7724999785423279
11,0.7793456614017487,0.7406249642372131
12,0.8375160396099091,0.7293749898672104
13,0.6818807944655418,0.7693749815225601
14,0.7161900699138641,0.7668749839067459
15,0.720025897026062,0.7443749904632568
16,0.7761389911174774,0.736874982714653
17,0.7907978147268295,0.732499971985817
18,0.793204054236412,0.7293749898672104
19,0.7410390228033066,0.763749971985817
20,0.6989277601242065,0.7643749862909317
21,0.5816225185990334,0.8099999725818634
22,0.6370299011468887,0.7999999821186066
23,0.5919360816478729,0.8168749809265137
24,0.6257653459906578,0.768124982714653
25,0.5751264095306396,0.8106249868869781
26,0.5789075270295143,0.8012499809265137
27,0.7635393589735031,0.7331249862909317
28,0.6811539828777313,0.7643749862909317
29,0.7109295576810837,0.7668749839067459
30,0.6374848783016205,0.7918749898672104
31,0.6594690680503845,0.789374977350235
32,0.7136448621749878,0.7556249797344208
33,0.7545156925916672,0.7543749809265137
34,0.6484429761767387,0.7949999868869781
35,0.723496288061142,0.7543749809265137
36,0.7576927095651627,0.7462499886751175
37,0.7203757166862488,0.7768749743700027
38,0.7203190326690674,0.7799999862909317
39,0.6616535931825638,0.7774999737739563
40,0.5519175380468369,0.8199999928474426
41,0.6593246608972549,0.7768749743700027
42,0.6910776495933533,0.7687499970197678
43,0.6002575308084488,0.7849999815225601
44,0.5573704615235329,0.8018749803304672
45,0.7752837687730789,0.7331249862909317
46,0.6915924772620201,0.7768749594688416
47,0.6595677882432938,0.773749977350235
48,0.7619511485099792,0.7506249845027924
49,0.5550777167081833,0.8224999755620956
