,Train_loss,Train_acc
0,1.497918277978897,0.762499988079071
1,1.4039274454116821,0.7699999958276749
2,1.2542316615581512,0.7199999839067459
3,1.0986588448286057,0.6649999991059303
4,1.029151290655136,0.6774999797344208
5,1.0118313282728195,0.6550000011920929
6,0.9461342394351959,0.6499999836087227
7,1.0549829453229904,0.6499999761581421
8,0.9974018335342407,0.6099999994039536
9,0.9640129208564758,0.6849999725818634
10,0.9140668958425522,0.677499994635582
11,0.751272477209568,0.7574999779462814
12,0.8521786034107208,0.6849999874830246
13,0.7318396866321564,0.7749999761581421
14,0.6090799868106842,0.7949999868869781
15,0.7091331779956818,0.8024999797344208
16,0.8003673329949379,0.7224999815225601
17,0.8242851868271828,0.7074999660253525
18,0.8372885435819626,0.7324999868869781
19,0.8032880276441574,0.7449999898672104
20,0.8894788324832916,0.679999977350235
21,0.7595029771327972,0.7674999833106995
22,0.820070892572403,0.7299999892711639
23,0.8296790421009064,0.6974999904632568
24,0.8913164436817169,0.6949999779462814
25,0.6653973162174225,0.7449999898672104
26,0.9908517599105835,0.6449999809265137
27,0.7989529371261597,0.7024999782443047
28,0.8103865198791027,0.7199999839067459
29,0.8846510499715805,0.6949999928474426
30,0.8293008804321289,0.6674999892711639
31,0.5892529562115669,0.8249999731779099
32,0.7111528813838959,0.7599999904632568
33,0.752464234828949,0.7299999743700027
34,0.7177839130163193,0.7299999892711639
35,0.6854270398616791,0.8024999648332596
36,0.666039727628231,0.7774999737739563
37,0.7635020315647125,0.7349999845027924
38,0.8090860918164253,0.7099999785423279
39,0.6219200789928436,0.7474999725818634
40,0.6564331501722336,0.7799999713897705
41,0.7160252332687378,0.7449999749660492
42,0.5494422912597656,0.8474999666213989
43,0.7031641080975533,0.7524999976158142
44,0.9295079708099365,0.6549999862909317
45,0.7098125964403152,0.7774999737739563
46,0.901351734995842,0.677499994635582
47,0.637614868581295,0.7899999767541885
48,0.7509120181202888,0.754999965429306
49,0.737675741314888,0.742499977350235
